code       product_name                              
---------  ------------------------------------------
1893       RIMJIM JEERA 250 ML                       
3127       REAL JUICE PINEAPPLE 1LT.                 
SP002605   420 CHATPATA CHANA PAPAD 200G             
SP002606   420 GOLD PU. PAPAD 200G                   
SP002610   AAKASH KHATTA MITHA MIX 1KG               
SP002611   AAKASH SOHAN PAPDI 400G                   
SP002612   AAKASH WAFERS RS10                        
SP002613   AALAY SOAP RS10                           
SP002614   AALU CHIPS 250M                           
SP002617   AATA LOOSE                                
SP002618   ABIR 50G                                  
SP002619   ACT CLASSIC SALTED RS10                   
SP002620   ACT GOLDEN SIZZLE RS10                    
SP002621   ACT MAGIC BUUTTER RS10                    
SP002622   ACT2 BUTTER 30G                           
SP002623   ADHIRAJ COLOUR BOOK RS50                  
SP002624   AGRBATTI PREMIUM RS100                    
SP002628   AJAY TB COMPLETE JUNIOR RS18              
SP002630   AJWAIN 100G                               
SP002632   ALOO CHIPS MOTI 200G                      
SP002633   ALOO CHIPS MOTI 500G                      
SP002634   ALPENLIEBE LOLIPOP RS5                    
SP002635   ALSI 100G                                 
SP002636   AMLA PICKLE 500G                          
SP002637   AMUL ALMOND CHOCOLATE 200G                
SP002641   AMUL BUTTERY G&H 100G                     
SP002642   AMUL CHEE SLICE 750G                      
SP002643   AMUL CHEESE CUBE                          
SP002645   AMUL CHEESE CUBE 200G                     
SP002646   AMUL CHOCOLATE GIFT PACK 175G             
SP002647   AMUL COW GHEE 1LT. JAR                    
SP002648   AMUL COW GHEE 200ML                       
SP002649   AMUL COW GHEE 500ML                       
SP002650   AMUL FRUIT N NUT 150G                     
SP002652   AMUL LASSI 1LT.                           
SP002653   AMUL LASSI MANGO 1L                       
SP002656   AMUL MILK CHOCOLATE 150G                  
SP002657   AMUL PANEER FRESH 200G                    
SP002658   AMUL R&A MILK CHOCO. 150G                 
SP002659   AMUL SF DARK CHOCOLATE 35G                
SP002662   APSARA PENCILS MRP50                      
SP002663   ARIEL LIQ. FL 3KG                         
SP002664   ARIEL LIQ. FL RS10                        
SP002666   ARIEL POWDER 4KG+2KG FREE                 
SP002667   AROME ETHENA 6ML                          
SP002668   AROME SUKHAAD 6ML                         
SP002670   ATTER RS20                                
SP002671   B&S ALMOND STICKS 250GM                   
SP002672   B&S FRUIT & NUT COOKIES 250G              
SP002673   B&S SF ATTA BISCUIT 300GM                 
SP002674   BAATI ATTA LOOSE                          
SP002675   BABY CARE KIT                             
SP002676   BABY SAFFRON 250MG                        
SP002678   BADAM BOLD 250G                           
SP002679   BADI ELAICHI 10GM                         
SP002680   BAJAJ ALMOND DROP OIL 190ML               
SP002681   BAJAJ ALMOND DROP OIL 285ML               
SP002682   BAJAJ ALMOND DROP OIL 475ML               
SP002683   BAJAJ ALMOND DROP OIL 600ML               
SP002685   BAJAJ AMLA HAIR OIL 500ML                 
SP002686   BAJAJ BRAHMI AMLA OIL 180ML               
SP002687   BAJAJ COCONUT OIL 175ML                   
SP002689   BALL PAN RS3                              
SP002690   BALL SOFT                                 
SP002692   BATTI RS30                                
SP002693   BATTI RS40                                
SP002694   BB POPULAR SUGAR 5KG                      
SP002696   BELLAVITA PERFUM GS 60ML                  
SP002697   BESAN DESI 500G                           
SP002698   BHARAT GRASS BROOMS                       
SP002699   BHAVNAGAR HERBAL MEHNDI 50G               
SP002700   BIKAJI BHUJIA 1KG                         
SP002701   BIKAJI RASGULLA 1KG                       
SP002702   BLACK SLATE RS30                          
SP002704   BLUE CHIP BODY LOTION 500ML               
SP002708   BOROPLUS LIP BALM 10G                     
SP002710   BREAD RS55                                
SP002711   BRITANNIA BOURBON RS30                    
SP002712   BRITANNIA GOBBLES CHOCO CAKE RS25         
SP002713   BRITANNIA MARIE GOLD RS10                 
SP002717   BRITANNIA NICE TIME RS10                  
SP002718   BUCKET MOP SET                            
SP002720   BUSH APPLE GREEN 100G                     
SP002721   BUSH ORANGE RED 100GM                     
SP002722   BUTTER PAPER 20MT.                        
SP002723   C&C FACE WASH 50ML                        
SP002725   CADBURY CELEBRATION RS50                  
SP002726   CADBURY CHOCLAIRS GOLD 588G               
SP002727   CADBURY CHOCLAIRS GOLD RS120              
SP002728   CADBURY DAIRY MILK RA 52G                 
SP002729   CADBURY DM LOLLY RS5                      
SP002730   CADBURY SHOTS RS116                       
SP002735   CB CREMY VANILLA 700ML                    
SP002738   CB MAXXUM CHOCO 80ML                      
SP002740   CB SF VANILLA CUP RS60                    
SP002741   CD 5STAR 3D RS20                          
SP002742   CD GEMS SURPRISE 14.69G                   
SP002744   CDM CHOCOLATE F&N RS50                    
SP002745   CDM CHOCOLATE RS45                        
SP002747   CDM SILK F&N RS100                        
SP002748   CDM SILK OREO 124G                        
SP002749   CDM SILK OREO RS100                       
SP002751   CELL TAP RS20                             
SP002753   CHANA JOR 200G                            
SP002754   CHANA PAPAD HM 200G                       
SP002755   CHANA ROSTED BOLD 500G                    
SP002756   CHANDRIKA HANDWASH 600ML                  
SP002757   CHAWLA DAL 500G                           
SP002758   CHAWLA SMALL 250G                         
SP002760   CHINA CAMPUS BOX                          
SP002761   CHINGS CHILLI VINEGER 170ML               
SP002762   CHINGS GREEN CHILLLI SAUCE 90G            
SP002763   CHINGS RED CHILLI SAUCE 90G               
SP002764   CHINGS SCHEZWAN CHUTNEY 250G              
SP002765   CHINGS SCHEZWAN SAUCE 80G                 
SP002766   CHINGS SOUP MANCHOW RS10                  
SP002767   CHINGS SOUP TOMATO RS10                   
SP002768   CHOCO CHIPS LOOSE                         
SP002771   CLASSIC BRUSH HARD 1N                     
SP002772   CLASSIC BRUSH MEDIUM 1N                   
SP002773   CLASSIC BRUSH SOFT 1N                     
SP002774   CLASSIC CLEANING POWDER RS25              
SP002775   CLASSMATE A4 NOTE BOOK MRP100             
SP002776   CLASSMATE A4 NOTE BOOK MRP40              
SP002777   CLASSMATE A4 NOTE BOOK MRP58              
SP002778   CLASSMATE A4 NOTE BOOK RS 95              
SP002780   CLASSMATE NOTE BOOK MRP48                 
SP002781   CLASSMATE NOTE BOOK MRP55                 
SP002785   CLAY 12 SHADES RS85                       
SP002787   CLINIC PLUS SHAMPOO 80ML                  
SP002788   CLOSEUP FRESH GEL 300G                    
SP002790   CLOTH DUSTER                              
